SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
530363,UGAR SUGAR  ,T ,Q,12.60,12.90,12.60,12.90,12.90,12.70,54,8065,103288.00,
530365,ORIENTBELL  ,T ,Q,77.90,79.20,75.80,75.85,75.85,76.35,68,1547,119633.00,
530367,NRB BEARINGS,B ,Q,87.50,87.70,85.45,86.40,87.00,87.00,372,11311,977963.00,
530369,VAMSHI RUBB.,T ,Q,22.15,23.90,22.15,23.80,23.80,23.00,10,702,16378.00,
530377,NILA INFRA. ,B ,Q,3.71,3.77,3.50,3.65,3.77,3.63,283,147892,532931.00,
530381,PETRON ENGG.,B ,Q,161.85,163.95,160.10,163.95,163.95,158.55,11,362,58657.00,
530389,GEEFCEE FIN.,B ,Q,47.00,48.30,46.00,48.30,48.30,46.00,6,1050,48915.00,
530391,DOT COM     ,T ,Q,1.98,1.98,1.98,1.98,1.98,2.07,2,1,1.00,
530393,DB INT.ST.BR,B ,Q,65.70,65.85,65.60,65.65,65.65,65.60,356,23238,1528243.00,
530401,VINYOFLEX LT,T ,Q,8.98,8.98,8.97,8.98,8.98,8.81,38,18198,163415.00,
530407,EPIC ENERGY ,T ,Q,10.65,11.71,10.62,11.71,11.71,11.17,30,3155,35889.00,
530419,SUMEDHA FISC,T ,Q,18.30,19.20,18.25,19.20,19.20,19.20,6,8874,162000.00,
530421,KUWER INDS. ,T ,Q,32.50,35.00,32.00,35.00,35.00,33.50,10,550,17850.00,
530429,ASHISH POLY.,T ,Q,3.97,3.97,3.97,3.97,3.97,3.79,2,10,39.00,
530431,ADOR FONTECH,B ,Q,102.65,108.45,102.65,104.35,104.35,103.60,94,8034,835648.00,
530433,SHIVA FERT. ,B ,Q,21.45,21.50,20.10,21.00,21.00,20.40,24,1327,27434.00,
530435,NOESISIND   ,T ,Q,1.66,1.67,1.66,1.66,1.66,1.74,24,1475,2452.00,
530439,SIDDHA VEN  ,B ,Q,0.71,0.71,0.71,0.71,0.71,0.74,10,10002,7101.00,
530441,MAHANIVESH I,T ,Q,95.25,95.25,95.25,95.25,95.25,99.20,4,30000,2857500.00,
530443,KIRAN SYNTEX,B ,Q,5.61,5.61,5.61,5.61,5.61,5.90,2,5,28.00,
530445,SUMERU IND  ,T ,Q,0.58,0.58,0.58,0.58,0.58,0.56,4,568,329.00,
530449,RUNGTA IRRIG,T ,Q,25.75,25.75,25.75,25.75,25.75,26.25,6,100,2575.00,
530459,VALSON INDUS,T ,Q,14.70,14.85,14.70,14.80,14.85,14.15,21,4069,60281.00,
530477,VIKRAM THERM,B ,Q,64.50,65.80,64.00,64.95,65.20,64.45,125,8290,538112.00,
530479,ATLINFRA    ,T ,Q,6.00,6.00,5.80,5.95,5.80,6.00,13,9800,58555.00,
530497,MARVEL CAPIT,B ,Q,6.40,6.40,6.00,6.34,6.35,6.29,34,2221,13397.00,
530499,A.K.CAPITAL ,B ,Q,270.00,270.00,260.20,263.90,262.00,258.00,20,401,105948.00,
530505,UPPER GANGES,B ,Q,51.45,51.95,50.00,51.95,51.95,51.45,8,1225,63088.00,
530513,ACCURATE TRA,T ,Q,50.00,51.00,49.45,49.60,49.45,52.00,8,400,19850.00,
530517,RELAXO FOOT.,B ,Q,389.10,396.85,385.05,390.35,389.00,388.70,247,1075,419882.00,
530519,INTERFACE FN,T ,Q,0.59,0.62,0.57,0.60,0.60,0.60,15,9223,5285.00,
530521,VIRAT INDUS.,B ,Q,36.50,37.70,35.00,36.25,36.25,36.75,20,1602,57699.00,
530543,MARG LTD    ,B ,Q,17.50,17.60,17.10,17.40,17.30,17.10,174,19986,347021.00,
530545,COSCO INDIA ,B ,Q,88.75,88.75,85.25,88.70,88.70,84.55,104,3020,264005.00,
530547,KEN FIN.SER.,T ,Q,7.85,7.85,7.85,7.85,7.85,7.85,4,550,4317.00,
530549,SHILPA MEDIC,B ,Q,457.10,467.00,456.00,459.10,459.10,466.35,386,4934,2278870.00,
530555,PARAMOUNT CO,T ,Q,2.95,3.11,2.95,3.11,3.11,2.97,56,23961,74161.00,
530557,NCL RESEARCH,T ,Q,793.55,793.55,793.55,793.55,793.55,809.70,4,3,2380.00,
530565,ARCHANA SOFT,T ,Q,1.26,1.26,1.26,1.26,1.26,1.20,6,594,748.00,
530577,LADDERUP FIN,B ,Q,30.40,30.40,30.40,30.40,30.40,29.00,2,1,30.00,
530579,GOLDEN GOEN ,B ,Q,8.00,8.25,7.95,8.25,8.25,8.00,14,7100,57145.00,
530581,EKAM LEASING,T ,Q,21.35,21.35,21.35,21.35,21.35,22.45,2,100,2135.00,
530585,SWASTIK INV ,T ,Q,39.50,41.90,39.40,39.40,39.40,39.95,23,110,4420.00,
530589,PRIMA PLASTI,B ,Q,20.15,20.15,19.50,19.60,20.15,19.50,10,1366,26799.00,
530605,GSL NOVA    ,T ,Q,1.71,1.71,1.71,1.71,1.71,1.80,12,14011,23958.00,
530609,CARNATION IN,B ,Q,19.00,19.00,18.20,18.80,19.00,18.10,125,14166,266960.00,
530611,STURDY INDS ,T ,Q,2.24,2.25,2.24,2.25,2.25,2.15,6,1748,3930.00,
530615,GARG FURNACE,T ,Q,14.30,14.30,13.60,14.00,14.00,14.25,13,314,4373.00,
530621,AKAR TOOLS L,T ,Q,24.35,24.35,24.35,24.35,24.35,23.85,4,2,48.00,
530627,VIPUL DYE CH,B ,Q,16.45,16.50,15.20,16.25,15.55,15.10,52,1558,24605.00,
530643,ECORECO     ,B ,Q,25.00,25.00,25.00,25.00,25.00,24.75,2,500,12500.00,
530651,SOFT INF SOL,B ,Q,6.80,6.80,6.80,6.80,6.80,7.10,3,300,2040.00,
530655,GOOD LUCK ST,T ,Q,57.70,60.50,57.70,60.00,60.50,60.20,83,22903,1371970.00,
530657,GLOBAL SEC. ,T ,Q,4.70,4.88,4.42,4.60,4.88,4.65,56,40558,182203.00,
530663,GOYAL ASSO. ,T ,Q,0.25,0.25,0.25,0.25,0.25,0.26,14,11000,2750.00,
530665,ZENITH HEALT,T ,Q,0.73,0.73,0.69,0.71,0.71,0.71,10,10316,7325.00,
530677,SUPREME HO  ,T ,Q,17.45,17.45,17.45,17.45,17.45,16.65,2,50,872.00,
530689,LYKISLTD    ,T ,Q,30.30,30.30,30.30,30.30,30.30,28.90,41,9926,300757.00,
530695,PRIME PROP  ,B ,Q,18.00,18.05,17.30,18.05,18.05,17.30,9,506,8894.00,
530699,RAJRAYON    ,T ,Q,0.54,0.54,0.50,0.52,0.54,0.52,12,3600,1850.00,
530701,KDJHRL      ,T ,Q,73.50,75.95,73.50,75.55,75.70,75.00,33,9108,686646.00,
530703,INFO-DRIVE S,B ,Q,5.22,5.22,4.76,5.22,5.22,4.98,57,7539,39304.00,
530707,AFTEK LTD   ,T ,Q,5.85,6.42,5.85,6.42,6.42,6.12,99,19306,119407.00,
530711,JAGAN LAMPS ,T ,Q,6.00,6.00,5.93,5.93,5.93,6.03,4,2700,16025.00,
530715,ALPS INDS.  ,T ,Q,2.24,2.24,2.10,2.14,2.14,2.14,36,9499,20255.00,
530719,IKF FINANCE ,T ,Q,16.05,16.25,16.05,16.20,16.20,16.05,15,11010,178325.00,
530721,ANGIND      ,T ,Q,15.15,15.15,14.65,14.85,14.85,14.45,18,981,14588.00,
530723,ASIT C FIN  ,T ,Q,39.50,39.50,39.50,39.50,39.50,38.75,15,2076,82002.00,
530743,GEI IND SYS ,B ,Q,30.10,31.50,30.10,31.50,31.50,30.00,18,851,26481.00,
530745,LNIND       ,T ,Q,4.00,4.03,3.65,4.03,4.03,3.84,25,3740,13703.00,
530759,STERL.TOOLS ,B ,Q,221.10,233.30,221.10,225.00,225.00,230.00,34,503,113320.00,
530769,VENUS UNIVER,T ,Q,0.66,0.66,0.66,0.66,0.66,0.63,9,9300,6138.00,
530771,KLG CAPITAL ,B ,Q,30.95,30.95,30.95,30.95,30.95,29.50,2,1,30.00,
530773,IVRCL LTD   ,B ,Q,24.40,24.60,23.95,24.60,24.60,23.45,3039,1120813,27418019.00,
530789,CEEJAY FINAN,T ,Q,30.00,30.00,27.50,27.50,27.50,28.90,4,2,57.00,
530795,SUNCITY SYNT,T ,Q,4.01,4.03,4.00,4.03,4.03,4.20,13,2247,9030.00,
530803,BHAGERIA DYE,B ,Q,80.75,80.75,77.80,78.35,78.50,79.30,86,3876,305961.00,
